Electrophile_SMILES,Nucleophile_SMILES,Ligand_SMILES,Base_SMILES,Solvent_SMILES,yield
1,0,3,3,0,66.74
1,0,8,3,0,8.11
1,0,0,3,0,57.48
1,0,9,3,0,61.89
1,0,5,3,0,2.23
1,0,6,3,0,70.45
1,0,7,3,0,79.85
1,0,1,3,0,9.6
1,0,2,3,0,80.77
1,0,10,3,0,19.24
1,0,4,3,0,5.2
1,0,3,4,0,39.17
1,0,8,4,0,7.24
1,0,0,4,0,44.98
1,0,9,4,0,50.95
1,0,5,4,0,2.23
1,0,6,4,0,61.29
1,0,7,4,0,60.83
1,0,1,4,0,9.94
1,0,2,4,0,53.52
1,0,10,4,0,18.18
1,0,4,4,0,3.68
1,0,3,2,0,41.23
1,0,8,2,0,6.66
1,0,0,2,0,33.02
1,0,9,2,0,50.06
1,0,5,2,0,2.68
1,0,6,2,0,55.85
1,0,7,2,0,47.94
1,0,1,2,0,9.37
1,0,2,2,0,52.33
1,0,10,2,0,20.18
1,0,4,2,0,4.25
1,0,3,5,0,48.56
1,0,8,5,0,7.77
1,0,0,5,0,42.73
1,0,9,5,0,55.08
1,0,5,5,0,3.03
1,0,6,5,0,62.33
1,0,7,5,0,73.31
1,0,1,5,0,12.3
1,0,2,5,0,72.0
1,0,10,5,0,26.14
1,0,4,5,0,4.54
1,0,3,0,0,66.16
1,0,8,0,0,9.92
1,0,0,0,0,58.51
1,0,9,0,0,78.15
1,0,5,0,0,5.12
1,0,6,0,0,62.02
1,0,7,0,0,85.95
1,0,1,0,0,13.91
1,0,2,0,0,85.21
1,0,10,0,0,26.83
1,0,4,0,0,0.0
1,0,3,1,0,68.72
1,0,8,1,0,10.16
1,0,0,1,0,48.8
1,0,9,1,0,82.65
1,0,5,1,0,5.97
1,0,6,1,0,80.74
1,0,7,1,0,87.82
1,0,1,1,0,13.56
1,0,2,1,0,88.93
1,0,10,1,0,21.65
1,0,4,1,0,3.64
1,0,3,6,3,17.33
1,0,8,6,3,6.27
1,0,0,6,3,5.34
1,0,9,6,3,12.74
1,0,5,6,3,5.37
1,0,6,6,3,8.6
1,0,7,6,3,77.85
1,0,1,6,3,10.03
1,0,2,6,3,88.28
1,0,10,6,3,13.87
1,0,4,6,3,4.8
1,0,3,3,3,3.5
1,0,8,3,3,6.84
1,0,0,3,3,2.54
1,0,9,3,3,10.59
1,0,5,3,3,1.19
1,0,6,3,3,7.85
1,0,7,3,3,42.13
1,0,1,3,3,6.81
1,0,2,3,3,37.01
1,0,10,3,3,16.24
1,0,4,3,3,0.0
1,0,3,4,3,1.22
1,0,8,4,3,6.24
1,0,0,4,3,4.25
1,0,9,4,3,42.54
1,0,5,4,3,1.05
1,0,6,4,3,12.89
1,0,7,4,3,63.88
1,0,1,4,3,8.67
1,0,2,4,3,60.88
1,0,10,4,3,8.67
1,0,4,4,3,5.15
1,0,3,2,3,3.69
1,0,8,2,3,5.3
1,0,0,2,3,5.08
1,0,9,2,3,6.97
1,0,5,2,3,0.99
1,0,6,2,3,11.91
1,0,7,2,3,39.83
1,0,1,2,3,7.58
1,0,2,2,3,39.49
1,0,10,2,3,9.03
1,0,4,2,3,0.0
1,0,3,5,3,13.55
1,0,8,5,3,4.36
1,0,0,5,3,3.3
1,0,9,5,3,7.47
1,0,5,5,3,3.54
1,0,6,5,3,10.67
1,0,7,5,3,62.77
1,0,1,5,3,8.83
1,0,2,5,3,79.14
1,0,10,5,3,10.07
1,0,4,5,3,4.46
1,0,3,0,3,23.07
1,0,8,0,3,7.07
1,0,0,0,3,4.12
1,0,9,0,3,6.71
1,0,5,0,3,2.67
1,0,6,0,3,6.27
1,0,7,0,3,71.54
1,0,1,0,3,10.01
1,0,2,0,3,61.47
1,0,10,0,3,9.54
1,0,4,0,3,0.0
1,0,3,1,3,17.9
1,0,8,1,3,4.61
1,0,0,1,3,4.6
1,0,9,1,3,7.56
1,0,5,1,3,2.56
1,0,6,1,3,6.26
1,0,7,1,3,72.84
1,0,1,1,3,10.17
1,0,2,1,3,67.48
1,0,10,1,3,9.64
1,0,4,1,3,0.0
1,0,3,6,1,33.37
1,0,8,6,1,15.35
1,0,0,6,1,30.96
1,0,9,6,1,32.72
1,0,5,6,1,34.24
1,0,6,6,1,14.91
1,0,7,6,1,43.3
1,0,1,6,1,17.57
1,0,2,6,1,37.65
1,0,10,6,1,14.59
1,0,4,6,1,13.1
1,0,3,3,1,27.3
1,0,8,3,1,37.47
1,0,0,3,1,13.08
1,0,9,3,1,27.89
1,0,5,3,1,14.4
1,0,6,3,1,25.15
1,0,7,3,1,16.51
1,0,1,3,1,27.56
1,0,2,3,1,30.98
1,0,10,3,1,20.16
1,0,4,3,1,25.9
1,0,3,4,1,28.45
1,0,8,4,1,13.64
1,0,0,4,1,31.82
1,0,9,4,1,30.94
1,0,5,4,1,31.98
1,0,6,4,1,28.13
1,0,7,4,1,18.42
1,0,1,4,1,15.46
1,0,2,4,1,35.0
1,0,10,4,1,20.71
1,0,4,4,1,32.24
1,0,3,2,1,26.85
1,0,8,2,1,15.5
1,0,0,2,1,12.57
1,0,9,2,1,14.4
1,0,5,2,1,13.04
1,0,6,2,1,15.23
1,0,7,2,1,22.25
1,0,1,2,1,17.28
1,0,2,2,1,22.24
1,0,10,2,1,15.83
1,0,4,2,1,14.97
1,0,3,5,1,14.91
1,0,8,5,1,18.37
1,0,0,5,1,22.52
1,0,9,5,1,39.31
1,0,5,5,1,18.24
1,0,6,5,1,30.77
1,0,7,5,1,19.02
1,0,1,5,1,16.03
1,0,2,5,1,40.25
1,0,10,5,1,17.68
1,0,4,5,1,15.64
1,0,3,0,1,12.85
1,0,8,0,1,22.93
1,0,0,0,1,12.79
1,0,9,0,1,13.31
1,0,5,0,1,11.64
1,0,6,0,1,13.56
1,0,7,0,1,16.83
1,0,1,0,1,21.55
1,0,2,0,1,27.33
1,0,10,0,1,26.97
1,0,4,0,1,25.55
1,0,3,1,1,12.62
1,0,8,1,1,17.43
1,0,0,1,1,13.35
1,0,9,1,1,27.89
1,0,5,1,1,14.65
1,0,6,1,1,31.02
1,0,7,1,1,18.02
1,0,1,1,1,16.25
1,0,2,1,1,32.86
1,0,10,1,1,37.85
1,0,4,1,1,15.18
0,0,3,6,2,79.31
0,0,8,6,2,85.43
0,0,0,6,2,86.82
0,0,9,6,2,75.98
0,0,5,6,2,41.8
0,0,6,6,2,96.38
0,0,7,6,2,92.63
0,0,1,6,2,46.79
0,0,2,6,2,90.21
0,0,10,6,2,26.02
0,0,4,6,2,10.74
0,0,3,3,2,93.3
0,0,8,3,2,90.89
0,0,0,3,2,93.44
0,0,9,3,2,86.13
0,0,5,3,2,28.22
0,0,6,3,2,93.94
0,0,7,3,2,71.11
0,0,1,3,2,33.61
0,0,2,3,2,56.96
0,0,10,3,2,59.54
0,0,4,3,2,0.64
0,0,3,4,2,76.51
0,0,8,4,2,68.5
0,0,0,4,2,83.6
0,0,9,4,2,71.0
0,0,5,4,2,39.98
0,0,6,4,2,84.02
0,0,7,4,2,46.81
0,0,1,4,2,37.36
0,0,2,4,2,46.08
0,0,10,4,2,47.46
0,0,4,4,2,1.21
0,0,3,2,2,67.14
0,0,8,2,2,62.56
0,0,0,2,2,77.71
0,0,9,2,2,48.17
0,0,5,2,2,30.4
0,0,6,2,2,82.69
0,0,7,2,2,36.08
0,0,1,2,2,36.42
0,0,2,2,2,34.03
0,0,10,2,2,46.73
0,0,4,2,2,1.05
0,0,3,5,2,78.75
0,0,8,5,2,76.72
0,0,0,5,2,87.47
0,0,9,5,2,63.2
0,0,5,5,2,40.06
0,0,6,5,2,95.57
0,0,7,5,2,71.71
0,0,1,5,2,39.98
0,0,2,5,2,74.15
0,0,10,5,2,49.25
0,0,4,5,2,9.39
0,0,3,0,2,90.99
0,0,8,0,2,96.76
0,0,0,0,2,91.93
0,0,9,0,2,87.49
0,0,5,0,2,34.73
0,0,6,0,2,95.88
0,0,7,0,2,92.53
0,0,1,0,2,48.99
0,0,2,0,2,75.54
0,0,10,0,2,31.65
0,0,4,0,2,9.99
0,0,3,1,2,91.95
0,0,8,1,2,88.9
0,0,0,1,2,91.32
0,0,9,1,2,90.6
0,0,5,1,2,25.72
0,0,6,1,2,96.05
0,0,7,1,2,81.16
0,0,1,1,2,38.88
0,0,2,1,2,64.3
0,0,10,1,2,57.41
0,0,4,1,2,5.49
0,0,3,6,0,87.82
0,0,8,6,0,90.21
0,0,0,6,0,86.25
0,0,9,6,0,78.26
0,0,5,6,0,70.18
0,0,6,6,0,96.57
0,0,7,6,0,72.44
0,0,1,6,0,67.89
0,0,2,6,0,71.64
0,0,10,6,0,25.0
0,0,4,6,0,11.97
0,0,3,3,0,93.99
0,0,8,3,0,95.93
0,0,0,3,0,91.69
0,0,9,3,0,74.19
0,0,5,3,0,56.2
0,0,6,3,0,96.89
0,0,7,3,0,67.2
0,0,1,3,0,55.38
0,0,2,3,0,48.37
0,0,10,3,0,17.13
0,0,4,3,0,4.66
0,0,3,4,0,72.82
0,0,8,4,0,75.08
0,0,0,4,0,74.79
0,0,9,4,0,55.51
0,0,5,4,0,51.71
0,0,6,4,0,75.62
0,0,7,4,0,32.56
0,0,1,4,0,44.38
0,0,2,4,0,19.33
0,0,10,4,0,23.53
0,0,4,4,0,6.45
0,0,3,2,0,60.2
0,0,8,2,0,70.78
0,0,0,2,0,70.16
0,0,9,2,0,34.61
0,0,5,2,0,34.54
0,0,6,2,0,79.66
0,0,7,2,0,34.88
0,0,1,2,0,44.65
0,0,2,2,0,24.48
0,0,10,2,0,19.24
0,0,4,2,0,1.41
0,0,3,5,0,66.68
0,0,8,5,0,73.8
0,0,0,5,0,75.63
0,0,9,5,0,44.1
0,0,5,5,0,52.45
0,0,6,5,0,87.88
0,0,7,5,0,51.15
0,0,1,5,0,57.36
0,0,2,5,0,50.12
0,0,10,5,0,22.22
0,0,4,5,0,5.31
0,0,3,0,0,92.77
0,0,8,0,0,87.78
0,0,0,0,0,89.22
0,0,9,0,0,73.6
0,0,5,0,0,73.33
0,0,6,0,0,97.29
0,0,7,0,0,68.32
0,0,1,0,0,67.4
0,0,2,0,0,45.58
0,0,10,0,0,24.04
0,0,4,0,0,9.88
0,0,3,1,0,94.67
0,0,8,1,0,94.88
0,0,0,1,0,91.88
0,0,9,1,0,80.43
0,0,5,1,0,41.28
0,0,6,1,0,97.83
0,0,7,1,0,70.45
0,0,1,1,0,68.66
0,0,2,1,0,60.95
0,0,10,1,0,21.57
0,0,4,1,0,9.14
0,0,3,6,3,72.57
0,0,8,6,3,75.94
0,0,0,6,3,66.37
0,0,9,6,3,55.56
0,0,5,6,3,17.1
0,0,6,6,3,81.09
0,0,7,6,3,59.55
0,0,1,6,3,37.66
0,0,2,6,3,26.44
0,0,10,6,3,13.84
0,0,4,6,3,9.74
0,0,3,3,3,13.2
0,0,8,3,3,84.39
0,0,0,3,3,29.98
0,0,9,3,3,37.34
0,0,5,3,3,11.56
0,0,6,3,3,50.79
0,0,7,3,3,27.28
0,0,1,3,3,14.78
0,0,2,3,3,10.88
0,0,10,3,3,17.45
0,0,4,3,3,1.48
0,0,3,4,3,9.48
0,0,8,4,3,84.61
0,0,0,4,3,57.94
0,0,9,4,3,57.56
0,0,5,4,3,14.51
0,0,6,4,3,80.36
0,0,7,4,3,62.26
0,0,1,4,3,28.71
0,0,2,4,3,44.81
0,0,10,4,3,14.38
0,0,4,4,3,1.88
0,0,3,2,3,50.79
0,0,8,2,3,72.94
0,0,0,2,3,56.65
0,0,9,2,3,29.96
0,0,5,2,3,16.2
0,0,6,2,3,65.71
0,0,7,2,3,22.24
0,0,1,2,3,23.11
0,0,2,2,3,29.35
0,0,10,2,3,12.76
0,0,4,2,3,1.38
0,0,3,5,3,49.15
0,0,8,5,3,80.18
0,0,0,5,3,67.22
0,0,9,5,3,60.71
0,0,5,5,3,20.57
0,0,6,5,3,84.99
0,0,7,5,3,62.66
0,0,1,5,3,40.32
0,0,2,5,3,30.55
0,0,10,5,3,15.74
0,0,4,5,3,14.1
0,0,3,0,3,82.07
0,0,8,0,3,81.23
0,0,0,0,3,59.02
0,0,9,0,3,64.13
0,0,5,0,3,16.87
0,0,6,0,3,77.38
0,0,7,0,3,48.5
0,0,1,0,3,39.14
0,0,2,0,3,18.95
0,0,10,0,3,14.07
0,0,4,0,3,3.85
0,0,3,1,3,66.97
0,0,8,1,3,69.58
0,0,0,1,3,50.06
0,0,9,1,3,38.25
0,0,5,1,3,23.23
0,0,6,1,3,65.03
0,0,7,1,3,22.76
0,0,1,1,3,19.57
0,0,2,1,3,22.27
0,0,10,1,3,12.81
0,0,4,1,3,0.93
0,0,3,6,1,85.05
0,0,8,6,1,92.8
0,0,0,6,1,77.34
0,0,9,6,1,91.24
0,0,5,6,1,87.0
0,0,6,6,1,91.58
0,0,7,6,1,92.88
0,0,1,6,1,54.52
0,0,2,6,1,91.27
0,0,10,6,1,55.16
0,0,4,6,1,0.8
0,0,3,3,1,77.88
0,0,8,3,1,92.6
0,0,0,3,1,81.73
0,0,9,3,1,92.24
0,0,5,3,1,93.79
0,0,6,3,1,86.98
0,0,7,3,1,85.69
0,0,1,3,1,31.27
0,0,2,3,1,82.19
0,0,10,3,1,27.37
0,0,4,3,1,2.18
0,0,3,4,1,69.56
0,0,8,4,1,75.46
0,0,0,4,1,75.58
0,0,9,4,1,75.43
0,0,5,4,1,87.41
0,0,6,4,1,80.5
0,0,7,4,1,56.64
0,0,1,4,1,37.65
0,0,2,4,1,45.64
0,0,10,4,1,16.4
0,0,4,4,1,1.6
0,0,3,2,1,84.62
0,0,8,2,1,94.67
0,0,0,2,1,76.31
0,0,9,2,1,88.84
0,0,5,2,1,90.31
0,0,6,2,1,89.42
0,0,7,2,1,92.54
0,0,1,2,1,46.4
0,0,2,2,1,90.69
0,0,10,2,1,21.61
0,0,4,2,1,3.03
0,0,3,5,1,81.33
0,0,8,5,1,92.61
0,0,0,5,1,71.62
0,0,9,5,1,89.74
0,0,5,5,1,88.24
0,0,6,5,1,85.46
0,0,7,5,1,91.14
0,0,1,5,1,54.68
0,0,2,5,1,90.55
0,0,10,5,1,34.0
0,0,4,5,1,1.02
0,0,3,0,1,82.44
0,0,8,0,1,92.9
0,0,0,0,1,69.6
0,0,9,0,1,89.34
0,0,5,0,1,88.09
0,0,6,0,1,85.58
0,0,7,0,1,92.27
0,0,1,0,1,48.6
0,0,2,0,1,90.62
0,0,10,0,1,21.41
0,0,4,0,1,1.22
0,0,3,1,1,74.15
0,0,8,1,1,82.99
0,0,0,1,1,73.01
0,0,9,1,1,75.99
0,0,5,1,1,85.28
0,0,6,1,1,82.84
0,0,7,1,1,58.79
0,0,1,1,1,37.12
0,0,2,1,1,52.37
0,0,10,1,1,21.11
0,0,4,1,1,0.5
3,0,3,6,2,56.38
3,0,8,6,2,96.6
3,0,0,6,2,83.79
3,0,9,6,2,87.57
3,0,5,6,2,69.99
3,0,6,6,2,91.47
3,0,7,6,2,91.47
3,0,1,6,2,84.95
3,0,2,6,2,92.69
3,0,10,6,2,52.4
3,0,4,6,2,22.78
3,0,3,3,2,66.86
3,0,8,3,2,98.53
3,0,0,3,2,94.26
3,0,9,3,2,93.05
3,0,5,3,2,78.44
3,0,6,3,2,92.77
3,0,7,3,2,78.31
3,0,1,3,2,40.68
3,0,2,3,2,78.08
3,0,10,3,2,79.61
3,0,4,3,2,0.7
3,0,3,4,2,66.13
3,0,8,4,2,96.49
3,0,0,4,2,93.69
3,0,9,4,2,76.46
3,0,5,4,2,61.39
3,0,6,4,2,88.31
3,0,7,4,2,45.46
3,0,1,4,2,34.93
3,0,2,4,2,66.46
3,0,10,4,2,72.27
3,0,4,4,2,2.96
3,0,3,2,2,70.25
3,0,8,2,2,87.68
3,0,0,2,2,87.91
3,0,9,2,2,41.08
3,0,5,2,2,44.26
3,0,6,2,2,82.41
3,0,7,2,2,44.11
3,0,1,2,2,34.26
3,0,2,2,2,47.08
3,0,10,2,2,78.42
3,0,4,2,2,4.32
3,0,3,5,2,68.06
3,0,8,5,2,96.49
3,0,0,5,2,90.23
3,0,9,5,2,81.84
3,0,5,5,2,64.29
3,0,6,5,2,92.96
3,0,7,5,2,80.73
3,0,1,5,2,62.36
3,0,2,5,2,84.67
3,0,10,5,2,86.92
3,0,4,5,2,10.92
3,0,3,0,2,68.43
3,0,8,0,2,97.42
3,0,0,0,2,84.74
3,0,9,0,2,92.09
3,0,5,0,2,82.77
3,0,6,0,2,91.17
3,0,7,0,2,90.89
3,0,1,0,2,85.41
3,0,2,0,2,91.1
3,0,10,0,2,27.39
3,0,4,0,2,16.04
3,0,3,1,2,67.59
3,0,8,1,2,97.45
3,0,0,1,2,85.04
3,0,9,1,2,92.7
3,0,5,1,2,70.45
3,0,6,1,2,92.52
3,0,7,1,2,91.37
3,0,1,1,2,41.67
3,0,2,1,2,80.59
3,0,10,1,2,81.21
3,0,4,1,2,9.06
3,0,3,6,0,51.22
3,0,8,6,0,96.32
3,0,0,6,0,33.57
3,0,9,6,0,89.35
3,0,5,6,0,60.68
3,0,6,6,0,29.57
3,0,7,6,0,93.86
3,0,1,6,0,51.38
3,0,2,6,0,95.8
3,0,10,6,0,27.47
3,0,4,6,0,47.21
3,0,3,3,0,54.85
3,0,8,3,0,87.25
3,0,0,3,0,25.72
3,0,9,3,0,92.7
3,0,5,3,0,43.75
3,0,6,3,0,30.6
3,0,7,3,0,86.7
3,0,1,3,0,44.12
3,0,2,3,0,87.65
3,0,10,3,0,65.25
3,0,4,3,0,8.26
3,0,3,4,0,22.37
3,0,8,4,0,67.88
3,0,0,4,0,15.15
3,0,9,4,0,83.84
3,0,5,4,0,11.83
3,0,6,4,0,29.45
3,0,7,4,0,52.91
3,0,1,4,0,40.85
3,0,2,4,0,55.66
3,0,10,4,0,52.32
3,0,4,4,0,4.37
3,0,3,2,0,27.63
3,0,8,2,0,65.66
3,0,0,2,0,14.99
3,0,9,2,0,73.07
3,0,5,2,0,9.33
3,0,6,2,0,23.78
3,0,7,2,0,54.78
3,0,1,2,0,42.66
3,0,2,2,0,47.9
3,0,10,2,0,43.15
3,0,4,2,0,5.76
3,0,3,5,0,33.26
3,0,8,5,0,84.51
3,0,0,5,0,11.46
3,0,9,5,0,65.64
3,0,5,5,0,26.99
3,0,6,5,0,24.54
3,0,7,5,0,61.35
3,0,1,5,0,47.04
3,0,2,5,0,80.83
3,0,10,5,0,27.83
3,0,4,5,0,17.76
3,0,3,0,0,53.78
3,0,8,0,0,85.88
3,0,0,0,0,23.63
3,0,9,0,0,65.74
3,0,5,0,0,48.33
3,0,6,0,0,26.71
3,0,7,0,0,93.67
3,0,1,0,0,49.63
3,0,2,0,0,95.5
3,0,10,0,0,24.1
3,0,4,0,0,42.89
3,0,3,1,0,49.02
3,0,8,1,0,86.07
3,0,0,1,0,28.08
3,0,9,1,0,75.26
3,0,5,1,0,54.06
3,0,6,1,0,26.61
3,0,7,1,0,93.81
3,0,1,1,0,49.74
3,0,2,1,0,95.85
3,0,10,1,0,27.03
3,0,4,1,0,37.88
3,0,3,6,3,40.2
3,0,8,6,3,66.32
3,0,0,6,3,43.18
3,0,9,6,3,57.08
3,0,5,6,3,33.92
3,0,6,6,3,54.3
3,0,7,6,3,55.27
3,0,1,6,3,41.87
3,0,2,6,3,47.22
3,0,10,6,3,40.03
3,0,4,6,3,26.73
3,0,3,3,3,9.29
3,0,8,3,3,92.28
3,0,0,3,3,54.36
3,0,9,3,3,88.55
3,0,5,3,3,27.55
3,0,6,3,3,43.2
3,0,7,3,3,64.69
3,0,1,3,3,26.74
3,0,2,3,3,52.85
3,0,10,3,3,80.28
3,0,4,3,3,0.58
3,0,3,4,3,8.71
3,0,8,4,3,91.14
3,0,0,4,3,76.44
3,0,9,4,3,94.46
3,0,5,4,3,60.0
3,0,6,4,3,94.8
3,0,7,4,3,77.9
3,0,1,4,3,54.89
3,0,2,4,3,87.99
3,0,10,4,3,97.32
3,0,4,4,3,6.69
3,0,3,2,3,19.62
3,0,8,2,3,89.87
3,0,0,2,3,69.93
3,0,9,2,3,55.64
3,0,5,2,3,46.83
3,0,6,2,3,69.48
3,0,7,2,3,46.44
3,0,1,2,3,35.12
3,0,2,2,3,43.5
3,0,10,2,3,65.48
3,0,4,2,3,7.09
3,0,3,5,3,27.96
3,0,8,5,3,83.95
3,0,0,5,3,56.65
3,0,9,5,3,74.22
3,0,5,5,3,40.11
3,0,6,5,3,64.54
3,0,7,5,3,67.16
3,0,1,5,3,48.61
3,0,2,5,3,64.39
3,0,10,5,3,62.48
3,0,4,5,3,24.42
3,0,3,0,3,52.58
3,0,8,0,3,82.96
3,0,0,0,3,56.07
3,0,9,0,3,75.36
3,0,5,0,3,37.35
3,0,6,0,3,60.94
3,0,7,0,3,68.7
3,0,1,0,3,51.93
3,0,2,0,3,66.93
3,0,10,0,3,25.72
3,0,4,0,3,20.12
3,0,3,1,3,20.74
3,0,8,1,3,60.18
3,0,0,1,3,35.88
3,0,9,1,3,34.25
3,0,5,1,3,27.1
3,0,6,1,3,43.02
3,0,7,1,3,23.33
3,0,1,1,3,30.26
3,0,2,1,3,27.91
3,0,10,1,3,30.68
3,0,4,1,3,21.29
3,0,3,6,1,45.03
3,0,8,6,1,96.7
3,0,0,6,1,70.76
3,0,9,6,1,93.33
3,0,5,6,1,63.28
3,0,6,6,1,61.13
3,0,7,6,1,94.82
3,0,1,6,1,47.13
3,0,2,6,1,88.97
3,0,10,6,1,87.48
3,0,4,6,1,33.88
3,0,3,3,1,40.73
3,0,8,3,1,88.59
3,0,0,3,1,58.43
3,0,9,3,1,89.13
3,0,5,3,1,55.72
3,0,6,3,1,64.52
3,0,7,3,1,81.73
3,0,1,3,1,40.04
3,0,2,3,1,75.35
3,0,10,3,1,64.5
3,0,4,3,1,22.67
3,0,3,4,1,43.13
3,0,8,4,1,85.73
3,0,0,4,1,77.72
3,0,9,4,1,89.81
3,0,5,4,1,48.91
3,0,6,4,1,86.51
3,0,7,4,1,71.88
3,0,1,4,1,46.7
3,0,2,4,1,60.51
3,0,10,4,1,37.67
3,0,4,4,1,8.04
3,0,3,2,1,32.15
3,0,8,2,1,94.15
3,0,0,2,1,61.84
3,0,9,2,1,83.83
3,0,5,2,1,58.94
3,0,6,2,1,59.67
3,0,7,2,1,90.1
3,0,1,2,1,69.16
3,0,2,2,1,83.35
3,0,10,2,1,94.68
3,0,4,2,1,14.2
3,0,3,5,1,33.02
3,0,8,5,1,93.94
3,0,0,5,1,61.96
3,0,9,5,1,82.1
3,0,5,5,1,55.13
3,0,6,5,1,62.96
3,0,7,5,1,88.13
3,0,1,5,1,67.64
3,0,2,5,1,82.32
3,0,10,5,1,91.65
3,0,4,5,1,26.41
3,0,3,0,1,33.37
3,0,8,0,1,95.31
3,0,0,0,1,58.42
3,0,9,0,1,80.68
3,0,5,0,1,48.82
3,0,6,0,1,57.05
3,0,7,0,1,90.9
3,0,1,0,1,73.72
3,0,2,0,1,82.88
3,0,10,0,1,93.82
3,0,4,0,1,35.83
3,0,3,1,1,40.22
3,0,8,1,1,88.74
3,0,0,1,1,72.98
3,0,9,1,1,88.05
3,0,5,1,1,56.98
3,0,6,1,1,80.85
3,0,7,1,1,76.89
3,0,1,1,1,64.56
3,0,2,1,1,68.57
3,0,10,1,1,91.06
3,0,4,1,1,9.94
2,0,3,6,2,93.31
2,0,8,6,2,93.7
2,0,0,6,2,94.33
2,0,9,6,2,87.35
2,0,5,6,2,84.09
2,0,6,6,2,95.65
2,0,7,6,2,87.6
2,0,1,6,2,89.72
2,0,2,6,2,86.6
2,0,10,6,2,47.14
2,0,4,6,2,34.8
2,0,3,3,2,91.47
2,0,8,3,2,93.27
2,0,0,3,2,94.03
2,0,9,3,2,84.04
2,0,5,3,2,86.92
2,0,6,3,2,92.01
2,0,7,3,2,87.49
2,0,1,3,2,87.18
2,0,2,3,2,84.94
2,0,10,3,2,96.2
2,0,4,3,2,37.03
2,0,3,4,2,87.61
2,0,8,4,2,95.85
2,0,0,4,2,90.3
2,0,9,4,2,88.99
2,0,5,4,2,80.55
2,0,6,4,2,91.07
2,0,7,4,2,83.98
2,0,1,4,2,82.98
2,0,2,4,2,79.93
2,0,10,4,2,89.19
2,0,4,4,2,62.03
2,0,3,2,2,83.54
2,0,8,2,2,91.18
2,0,0,2,2,86.92
2,0,9,2,2,81.31
2,0,5,2,2,73.72
2,0,6,2,2,85.75
2,0,7,2,2,71.78
2,0,1,2,2,75.69
2,0,2,2,2,65.69
2,0,10,2,2,79.45
2,0,4,2,2,43.21
2,0,3,5,2,82.29
2,0,8,5,2,91.35
2,0,0,5,2,89.74
2,0,9,5,2,83.91
2,0,5,5,2,81.25
2,0,6,5,2,93.12
2,0,7,5,2,86.64
2,0,1,5,2,89.27
2,0,2,5,2,85.95
2,0,10,5,2,92.13
2,0,4,5,2,69.09
2,0,3,0,2,92.92
2,0,8,0,2,98.2
2,0,0,0,2,90.96
2,0,9,0,2,91.73
2,0,5,0,2,90.03
2,0,6,0,2,94.64
2,0,7,0,2,93.43
2,0,1,0,2,90.23
2,0,2,0,2,88.37
2,0,10,0,2,90.92
2,0,4,0,2,56.2
2,0,3,1,2,91.89
2,0,8,1,2,94.82
